referencia,sao_paulo,mato_grosso_do_sul,rondonia,amazonas,pernambuco,ceara,para,tocantins,sergipe,minas_gerais,rio_de_janeiro,goias,rio_grande_do_sul,espirito_santo,bahia,alagoas,distrito_federal,acre,rio_grande_do_norte,maranhao,parana,paraiba,santa_catarina,piaui,amapa,total
2013,72463351.94,1992863.35,158786.81,44409286.39,1868845.58,2244370.06,944948.48,40524.03,22199.19,19096822281.68,32537315.07,88248405,1825618.98,1650920.12,4877158.8,552473.62,284452.88,16338.69,27896.36,4138783.41,35146641.04,84962.34,5970583.54,3040.59,5927.7,19396337975.53
2014,13011726.24,1875543.09,5243973.12,228135172.88,34373673,2122693.57,364229.44,167263.71,15472.6,131806781.94,1593512.32,518033957.81,3988716.67,569395.69,20665214.91,120521.71,963668.2,16329.18,25601.77,81768435.69,80290709.45,1182730.15,4695108.09,4923.18,3062.79,1131038417.1
2015,11952436.4,254262.35,128606.83,281420098.88,275350051922.97,180735514.01,241466.74,42360.78,81980258,5826676.2,234170352.24,89716691.62,5038252.99,2349176.87,3650889.45,147926.19,14376.61,15859.74,107080.8,547832.12,76984984.35,4123890.11,769593.53,340460.47,1954.13,276330612924.31
2016,7902382.31,47931.49,150320.29,254363963.91,1479187.57,2957374.55,827122.5,204388.13,19075616.2,13217470.47,642570448.97,90104486.5,6189917.89,402108.87,671262.01,137265.32,18065.88,32783.53,86496.8,120950.68,80618746.16,60125.69,864441.07,621583.53,482.95,1122724923.17
2017,8930568.14,77657655.94,354645.83,39505.39,1791188.15,14777677.22,212532.46,209479.24,210119.48,13136625.34,2823853.42,104172308.28,55147853.65,410998.14,296141.83,208614.67,40075.54,15752.34,94075.8,31181.82,4871021.92,73238.26,1084273.38,219387.94,762.87,286809536.92
2018,10767319.34,133617860.39,315652.7,52956.95,2303906.53,2764120.44,827768.08,265337.82,32140.65,9152738.76,15779193.95,94639659.22,4522652.95,369207.89,426718.98,214894.24,2079.54,15414.17,11336295.16,31138.05,325073.2,68147.86,937856.43,863540.01,1320.87,289632994.08
2019,40127692.21,101283171.03,703350104.71,168011475569.75,926711.36,1872319,209113.18,23588.92,27474.61,4339699.53,710127708.34,8402712.66,79988788.02,2314914.59,400611.68,457280.33,1663129898.66,15447.47,6670729.57,36509.85,400068.81,15071502.42,1417215881.55,903096.79,1714.3,172768772309.26
2020,28883149.95,1737137.78,45392.05,323710831266.61,18102861.82,2248286.32,224465.44,46615.99,4531461.7,3072691.38,631651.48,9175624.98,451784.43,260959.99,2256750.48,55096.46,24979.27,108496.21,8704197.65,87858.69,6022369.68,104193.95,1080921.52,8773.27,1592.42,323798698579.38
2021,26168533.98,527753.14,34823.4,942996971.15,1547940.17,1524715.84,264642.72,42013.16,20673.97,2496293.71,1202316.43,9512868.5,9412804.06,2181344.36,2417847.01,17086.12,23517.47,21513.24,12784335.25,56689.83,1342693.22,148870.74,2074341.84,12108.84,1927.67,1016834625.7
2022,6532275.75,159507808.96,55064.35,147787293500.5,692509.62,1372270.15,189082.57,458003.36,13817.36,2294611.52,1563030.99,9791716.6,1189128.95,270634.58,5536652.03,21525.11,60593.22,5523.93,9515137.7,78273.15,6932305.06,344962.83,1119083.38,393490.36,624.46,147995231626.34
